Year,MSHA ID,Mine_Name,Production,Labor_Hours
2013,103381,Tacoa Highwall Miner,100,22392
2013,103404,Reid School Mine,152,8447
2013,100759,North River #1 Underground Min,845,474784
2013,103246,Bear Creek,9744,29193
2013,103451,Knight Mine,455,46393
2013,103433,Crane Central Mine,866,47195
2013,100329,Concord Mine,0,144002
2013,100851,Oak Grove Mine,9744,1001809
2013,102901,Shoal Creek Mine,0,12396
2013,102901,Shoal Creek Mine,546,1237415
2013,103180,Sloan Mountain Mine,86,196963
2013,103182,Fishtrap,884,87314
2013,103285,Narley Mine,8979,90584
2013,103332,Powhatan Mine,65465,61394
2013,103375,Johnson Mine,580,1900
2013,103419,Maxine-Pratt Mine,154,107469
2013,103432,Skelton Creek,8252,220
2013,103437,Black Warrior Mine No,985,70926
2013,102976,Piney Woods Preparation Plant,0,14828
2013,102976,Piney Woods Preparation Plant,0,23193
2013,103380,Calera,0,12621
2013,103380,Calera,0,1402
2013,103422,Clark No 1 Mine,122,140250
2013,103467,Helena Surface Mine,1985,30539
2013,101247,No 4 Mine,1267,1551141
2013,101401,No 7 Mine,995,2464719
2013,103172,"Searles Mine No.2, 3, 4, 5, 6",258078,119542
2013,103179,Fleetwood Mine No 1,75937,63745
2013,103303,Shannon Mine,317491,164388
2013,103323,Deerlick Mine,133452,46381
2013,103364,Brc Alabama No. 7 Llc,0,14324
2013,103436,Swann's Crossing,137511,77190
2013,100347,Choctaw Mine,537429,215295
2013,101362,Manchester Mine,219457,116914
2013,102996,Jap Creek Mine,375715,164093
2013,103155,Corinth Prep Plant,0,27996
2013,103155,Corinth Prep Plant,0,51994
2013,103195,Mccollum/Sparks Branch Mine,71910,17411
2013,103342,Reese's Branch Mine,263888,115123
